iter	Logloss
149	0.2933854997
150	0.293053096
151	0.2926904774
152	0.2925346769
153	0.2921016218
154	0.2917702573
155	0.2912809968
156	0.2909897919
157	0.29068912
158	0.2904947714
159	0.2903036846
160	0.2900901707
161	0.2898005163
162	0.2896650874
163	0.289380778
164	0.2888443328
165	0.2883710739
166	0.2880610599
167	0.2877929433
168	0.2874225668
169	0.2872674465
170	0.2870110974
171	0.2866879841
172	0.2864736269
173	0.2862499635
174	0.2859978052
175	0.285753936
176	0.2854883944
177	0.2852914162
178	0.2849421695
179	0.2846534818
180	0.2842267527
181	0.2840152838
182	0.283701723
183	0.2835097813
184	0.2833044007
185	0.2828903196
186	0.282651158
187	0.2821148453
188	0.2817470585
189	0.2815468579
190	0.2810466196
191	0.2807927221
192	0.2805477461
193	0.2804005491
194	0.2800756434
195	0.2798008266
196	0.2796661566
197	0.2794050224
198	0.279226321
199	0.2789214343
200	0.2786891773
201	0.2785035166
202	0.2783265234
203	0.2780867236
204	0.2778527143
205	0.277439061
206	0.2772119537
207	0.2771181539
208	0.2769653937
209	0.2767369212
210	0.2764334289
211	0.2762897185
212	0.276053504
213	0.2756996456
214	0.2755314807
215	0.2753338346
216	0.2751568586
217	0.2749492873
218	0.2746439098
219	0.2744664096
220	0.2742194997
221	0.2739859871
222	0.2737648537
223	0.2735902387
224	0.2733918249
225	0.2730969621
226	0.2729270872
227	0.2727997888
228	0.272454552
229	0.2721983757
230	0.272004814
231	0.2718979177
232	0.2718275571
233	0.271638282
234	0.2714354375
235	0.2712496145
236	0.2710750365
237	0.2708946746
238	0.2705483292
239	0.2703379642
240	0.27008968
241	0.2698600504
242	0.2695875763
243	0.2693856221
244	0.2693670738
245	0.269268569
246	0.2692174494
247	0.2689275788
248	0.2686112289
249	0.2684192379
250	0.2682387233
251	0.2680083928
252	0.2679263496
253	0.2677534907
254	0.2675597478
255	0.2673652787
256	0.2672089831
257	0.2668517498
258	0.2665838233
259	0.2665657486
260	0.2663363557
261	0.2661782909
262	0.2660248003
263	0.2659624146
264	0.2658092618
265	0.26575803
266	0.2655164053
267	0.2653139607
268	0.2652958731
269	0.2649548661
270	0.2649130105
271	0.2646160312
272	0.2645448741
273	0.2644002701
274	0.2641262
275	0.2639675873
276	0.2636758681
277	0.2634642726
278	0.2634603343
279	0.2632015167
280	0.2630418447
281	0.2629320699
282	0.2627743057
283	0.2624830256
284	0.2623067013
285	0.2621534027
286	0.2618979989
287	0.2616732865
288	0.2614517496
289	0.2613151077
290	0.2611191204
291	0.2608951369
292	0.2606112389
293	0.2604440212
294	0.2601754382
295	0.2600886108
296	0.2598884466
297	0.2597472677
298	0.2595023796
299	0.2592996845
300	0.2591294895
301	0.2589415756
302	0.2587123939
303	0.2585701632
304	0.2583440591
305	0.2581981361
306	0.2579609121
307	0.2578087932
308	0.2575794051
309	0.2574638565
310	0.2572670165
311	0.257192791
312	0.2570479865
313	0.2569004821
314	0.2567102736
315	0.256542242
316	0.256393085
317	0.2562933144
318	0.256172342
319	0.2559476238
320	0.2557544028
321	0.255591852
322	0.2553665829
323	0.2552705128
324	0.2551010869
325	0.2549092914
326	0.2546868898
327	0.2545742713
328	0.2544229209
329	0.254291737
330	0.254198284
331	0.2540736418
332	0.2539806616
333	0.2538034203
334	0.2536818982
335	0.2535954744
336	0.2532318813
337	0.253038962
338	0.2529939917
339	0.2528695757
340	0.2527145874
341	0.2524858926
342	0.2523115361
343	0.2521349967
344	0.252001795
345	0.2519149096
346	0.251781478
347	0.25175895
348	0.2513971684
349	0.2512853165
350	0.2511371909
351	0.2510742741
352	0.2508917321
353	0.2507610583
354	0.2505243125
355	0.2503976204
356	0.2503891177
357	0.2502620181
358	0.2500888062
359	0.2500105177
360	0.2498330424
361	0.2496833782
362	0.2495338819
363	0.2494687728
364	0.2492994803
365	0.2491140814
366	0.2490753556
367	0.2488483575
368	0.2487516822
369	0.2485904363
370	0.2485465757
371	0.2484036964
372	0.2481898445
373	0.2479744016
374	0.247805199
375	0.2476280562
376	0.2474773797
377	0.2473010016
378	0.2472132513
379	0.2470992463
380	0.2468997245
381	0.2466809042
382	0.2465881138
383	0.2464146991
384	0.2462396681
385	0.2460325598
386	0.2458546329
387	0.2458334699
388	0.2456704747
389	0.2454720275
390	0.2452327012
391	0.2451905674
392	0.2450341686
393	0.2448586457
394	0.2446497113
395	0.2444823347
396	0.2444044907
397	0.2442482918
398	0.2440412256
399	0.2438807871
400	0.2436520205
401	0.2435147001
402	0.2433123053
403	0.2432013052
404	0.243059587
405	0.2428611996
406	0.2428215308
407	0.2426499337
408	0.2423658713
409	0.2422490138
410	0.2420647743
411	0.2418860302
412	0.2417057932
413	0.2415114993
414	0.2414112527
415	0.2413375297
416	0.2411427536
417	0.2410442694
418	0.2409088883
419	0.2408071278
420	0.2406028364
421	0.2405270087
422	0.2403728644
423	0.2402252287
424	0.240138546
425	0.2400228473
426	0.2398723955
427	0.2396874449
428	0.2395032331
429	0.2394089107
430	0.2391900667
431	0.2390585884
432	0.2388967931
433	0.2387587773
434	0.2386508046
435	0.2385113841
436	0.2383878623
437	0.2382774104
438	0.2380700508
439	0.2379765276
440	0.2378291808
441	0.2377180525
442	0.2376108998
443	0.2375045929
444	0.2373958837
445	0.2372637966
446	0.2371952378
447	0.2371755861
448	0.2369941165
449	0.2368742742
450	0.2368175395
451	0.2367037557
452	0.2365559816
453	0.2364179328
454	0.236306805
455	0.2361755888
456	0.2359943423
457	0.2358644837
458	0.2357976205
459	0.2355566177
460	0.2354367959
461	0.235314231
462	0.2351861964
463	0.2350842605
464	0.2348904747
465	0.2348773989
466	0.234689885
467	0.2345509317
468	0.234360297
469	0.2342366587
470	0.2340970545
471	0.2339407873
472	0.2338115093
473	0.2336875518
474	0.2335416842
475	0.2334415447
476	0.2333039565
477	0.2330266634
478	0.2328896392
479	0.2327779827
480	0.232611646
481	0.2324788512
482	0.2323795491
483	0.2323378944
484	0.2322529412
485	0.2321706522
486	0.2320617937
487	0.2319019677
488	0.231775743
489	0.2316707147
490	0.2315152586
491	0.2313968042
492	0.2312842333
493	0.2311211087
494	0.2309974794
495	0.2308671995
496	0.2307716076
497	0.2305936246
498	0.2305284778
499	0.230396696
500	0.2301668172
501	0.2300557956
502	0.2299490903
503	0.2298376915
504	0.2297067773
505	0.2295921009
506	0.2294493943
507	0.2293186315
508	0.2292041345
509	0.2290882665
510	0.2289339509
511	0.2288062785
512	0.2287109483
513	0.2285555341
514	0.2284525323
515	0.2282644934
516	0.2281480589
517	0.2280277036
518	0.2279050715
519	0.2278078547
520	0.2277275599
521	0.2275587659
522	0.2274164102
523	0.2272941391
524	0.227133217
525	0.2270049307
526	0.2268719667
527	0.2267060456
528	0.226538504
529	0.2263926666
530	0.2262609312
531	0.2260413191
532	0.2258989353
533	0.2257779512
534	0.2257186758
535	0.2256358807
536	0.2255467056
537	0.2253781683
538	0.2253146565
539	0.225208519
540	0.2251104247
541	0.2249799383
542	0.2248486605
543	0.224775482
544	0.2246461261
545	0.2245854108
546	0.2244786187
547	0.2243706481
548	0.2242331986
549	0.2241299352
550	0.224043298
551	0.2238692301
552	0.2237379387
553	0.2236745022
554	0.2234923472
555	0.223361
556	0.2233041994
557	0.2231975982
558	0.2231278124
559	0.2229371552
560	0.2228022719
561	0.2226620048
562	0.2225165805
563	0.222321678
564	0.2221888371
565	0.2219778592
566	0.2218047375
567	0.2216672585
568	0.2214983949
569	0.2213847132
570	0.2212964374
571	0.2211942564
572	0.22110469
573	0.2209903936
574	0.2208117297
575	0.2206061601
576	0.2204745474
577	0.2203459565
578	0.2201195317
579	0.2200074412
580	0.2198526882
581	0.2197315955
582	0.219610179
583	0.2194789274
584	0.2192992508
585	0.219210524
586	0.2190836823
587	0.2189471284
588	0.2188304617
589	0.2187071175
590	0.2185812247
591	0.2184506603
592	0.2183430014
593	0.2182220502
594	0.2181198279
595	0.2180081494
596	0.2179109999
597	0.2177982696
598	0.217716142
599	0.2176416048
600	0.2175891931
601	0.2175299124
602	0.2174643107
603	0.2173417408
604	0.2172367101
